game_id,game_date,home_team,away_team,home_score,away_score,home_win,home_win_prob_model,home_win_prob_model_calibrated,model_pick,actual_winner,correct,source_artifact_date,p_home_win,p_away_win,game_status
2024020313,2024-11-21,CHI,FLA,3.0,1.0,,,,CHI,CHI,True,20260924,0.551964,0.448036,Final
2024020314,2024-11-21,CGY,NYR,3.0,2.0,,,,CGY,CGY,True,20260924,0.551964,0.448036,Final
2024020315,2024-11-21,EDM,MIN,3.0,5.0,,,,EDM,MIN,False,20260924,0.558484,0.441516,Final
2024020316,2024-11-22,PIT,WPG,1.0,4.0,,,,PIT,WPG,False,20260924,0.558484,0.441516,Final
2024020317,2024-11-22,ANA,BUF,2.0,3.0,,,,ANA,BUF,False,20260924,0.551964,0.448036,Final
2024020318,2024-11-23,PHI,CHI,3.0,2.0,,,,PHI,PHI,True,20260924,0.565006,0.434994,Final
2024020319,2024-11-23,CGY,MIN,4.0,3.0,,,,CGY,CGY,True,20260924,0.551964,0.448036,Final
2024020320,2024-11-23,LAK,SEA,2.0,1.0,,,,LAK,LAK,True,20260924,0.558484,0.441516,Final
2024020321,2024-11-23,FLA,COL,4.0,7.0,,,,FLA,COL,False,20260924,0.558484,0.441516,Final
2024020322,2024-11-23,MTL,VGK,2.0,6.0,,,,MTL,VGK,False,20260924,0.558507,0.441493,Final
2024020323,2024-11-23,OTT,VAN,3.0,4.0,,,,OTT,VAN,False,20260924,0.565006,0.434994,Final
2024020324,2024-11-23,DET,BOS,1.0,2.0,,,,DET,BOS,False,20260924,0.565006,0.434994,Final
2024020325,2024-11-23,TBL,DAL,2.0,4.0,,,,TBL,DAL,False,20260924,0.558484,0.441516,Final
2024020326,2024-11-23,PIT,UTA,1.0,6.0,,,,PIT,UTA,False,20260924,0.565006,0.434994,Final
2024020327,2024-11-23,WSH,NJD,2.0,3.0,,,,WSH,NJD,False,20260924,0.558484,0.441516,Final
2024020328,2024-11-23,CBJ,CAR,5.0,4.0,,,,CBJ,CBJ,True,20260924,0.558484,0.441516,Final
2024020329,2024-11-23,NSH,WPG,4.0,1.0,,,,NSH,NSH,True,20260924,0.551964,0.448036,Final
2024020330,2024-11-23,NYI,STL,3.0,1.0,,,,NYI,NYI,True,20260924,0.558507,0.441493,Final
2024020331,2024-11-23,SJS,BUF,2.0,4.0,,,,SJS,BUF,False,20260924,0.558484,0.441516,Final
2024020332,2024-11-23,EDM,NYR,6.0,2.0,,,,EDM,EDM,True,20260924,0.558484,0.441516,Final
2024020333,2024-11-24,TOR,UTA,3.0,2.0,,,,TOR,TOR,True,20260924,0.543844,0.456156,Final
2024020334,2024-11-25,TBL,COL,8.0,2.0,,,,TBL,TBL,True,20260924,0.543844,0.456156,Final
2024020335,2024-11-25,FLA,WSH,1.0,4.0,,,,FLA,WSH,False,20260924,0.543844,0.456156,Final
2024020336,2024-11-25,NJD,NSH,5.0,2.0,,,,NJD,NJD,True,20260924,0.543844,0.456156,Final
2024020337,2024-11-25,NYR,STL,2.0,5.0,,,,NYR,STL,False,20260924,0.543844,0.456156,Final
2024020338,2024-11-25,PHI,VGK,4.0,5.0,,,,PHI,VGK,False,20260924,0.543844,0.456156,Final
2024020339,2024-11-25,CAR,DAL,6.0,4.0,,,,CAR,CAR,True,20260924,0.543844,0.456156,Final
2024020340,2024-11-25,OTT,CGY,4.0,3.0,,,,OTT,OTT,True,20260924,0.543844,0.456156,Final
2024020341,2024-11-25,NYI,DET,2.0,4.0,,,,NYI,DET,False,20260924,0.543844,0.456156,Final
2024020342,2024-11-25,MIN,WPG,1.0,4.0,,,,MIN,WPG,False,20260924,0.543844,0.456156,Final
2024020343,2024-11-25,ANA,SEA,2.0,3.0,,,,ANA,SEA,False,20260924,0.543844,0.456156,Final
2024020344,2024-11-25,SJS,LAK,7.0,2.0,,,,SJS,SJS,True,20260924,0.543844,0.456156,Final
2024020345,2024-11-26,BOS,VAN,0.0,2.0,,,,BOS,VAN,False,20260924,0.543844,0.456156,Final
2024020346,2024-11-26,MTL,UTA,2.0,3.0,,,,MTL,UTA,False,20260924,0.543844,0.456156,Final
2024020347,2024-11-27,BUF,MIN,0.0,1.0,,,,BUF,MIN,False,20260924,0.543844,0.456156,Final
2024020348,2024-11-27,NJD,STL,0.0,3.0,,,,NJD,STL,False,20260924,0.543844,0.456156,Final
2024020349,2024-11-27,CAR,NYR,4.0,3.0,,,,CAR,CAR,True,20260924,0.543844,0.456156,Final
2024020350,2024-11-27,DET,CGY,2.0,1.0,,,,DET,DET,True,20260924,0.543844,0.456156,Final
2024020351,2024-11-27,TBL,WSH,4.0,5.0,,,,TBL,WSH,False,20260924,0.543844,0.456156,Final
2024020352,2024-11-27,FLA,TOR,5.0,1.0,,,,FLA,FLA,True,20260924,0.543844,0.456156,Final
2024020353,2024-11-27,NYI,BOS,3.0,6.0,,,,NYI,BOS,False,20260924,0.543844,0.456156,Final
2024020354,2024-11-27,PIT,VAN,5.0,4.0,,,,PIT,PIT,True,20260924,0.543844,0.456156,Final
2024020355,2024-11-27,CBJ,MTL,3.0,4.0,,,,CBJ,MTL,False,20260924,0.543844,0.456156,Final
2024020356,2024-11-27,NSH,PHI,2.0,3.0,,,,NSH,PHI,False,20260924,0.543844,0.456156,Final
2024020357,2024-11-27,CHI,DAL,6.0,2.0,,,,CHI,CHI,True,20260924,0.543844,0.456156,Final
2024020358,2024-11-27,COL,VGK,2.0,1.0,,,,COL,COL,True,20260924,0.543844,0.456156,Final
2024020359,2024-11-27,LAK,WPG,4.0,1.0,,,,LAK,LAK,True,20260924,0.543844,0.456156,Final
2024020360,2024-11-27,SEA,ANA,2.0,5.0,,,,SEA,ANA,False,20260924,0.543844,0.456156,Final
2024020361,2024-11-27,SJS,OTT,3.0,4.0,,,,SJS,OTT,False,20260924,0.543844,0.456156,Final
2024020362,2024-11-29,PHI,NYR,3.0,1.0,,,,PHI,PHI,True,20260924,0.543844,0.456156,Final
2024020363,2024-11-29,MIN,CHI,3.0,2.0,,,,MIN,MIN,True,20260924,0.543844,0.456156,Final
2024020364,2024-11-29,BUF,VAN,3.0,4.0,,,,BUF,VAN,False,20260924,0.543844,0.456156,Final
2024020365,2024-11-29,DET,NJD,4.0,5.0,,,,DET,NJD,False,20260924,0.543844,0.456156,Final
2024020366,2024-11-29,WSH,NYI,5.0,4.0,,,,WSH,WSH,True,20260924,0.543844,0.456156,Final
2024020367,2024-11-29,CAR,FLA,3.0,6.0,,,,CAR,FLA,False,20260924,0.543844,0.456156,Final
2024020368,2024-11-29,CBJ,CGY,5.0,2.0,,,,CBJ,CBJ,True,20260924,0.543844,0.456156,Final
2024020369,2024-11-29,NSH,TBL,2.0,3.0,,,,NSH,TBL,False,20260924,0.543844,0.456156,Final
2024020370,2024-11-29,ANA,LAK,1.0,2.0,,,,ANA,LAK,False,20260924,0.543844,0.456156,Final
2024020371,2024-11-29,SJS,SEA,8.0,5.0,,,,SJS,SJS,True,20260924,0.543844,0.456156,Final
2024020372,2024-11-29,BOS,PIT,1.0,2.0,,,,BOS,PIT,False,20260924,0.543844,0.456156,Final
2024020373,2024-11-29,DAL,COL,5.0,3.0,,,,DAL,DAL,True,20260924,0.543844,0.456156,Final
2024020374,2024-11-29,VGK,WPG,4.0,3.0,,,,VGK,VGK,True,20260924,0.543844,0.456156,Final
2024020375,2024-11-29,UTA,EDM,3.0,4.0,,,,UTA,EDM,False,20260924,0.543844,0.456156,Final
2024020376,2024-11-30,NYR,MTL,4.0,3.0,,,,NYR,NYR,True,20260924,0.543844,0.456156,Final
2024020377,2024-11-30,FLA,CAR,6.0,0.0,,,,FLA,FLA,True,20260924,0.543844,0.456156,Final
2024020378,2024-11-30,TBL,TOR,3.0,5.0,,,,TBL,TOR,False,20260924,0.543844,0.456156,Final
2024020379,2024-11-30,NJD,WSH,5.0,6.0,,,,NJD,WSH,False,20260924,0.543844,0.456156,Final
2024020380,2024-11-30,PIT,CGY,6.0,2.0,,,,PIT,PIT,True,20260924,0.543844,0.456156,Final
2024020381,2024-11-30,STL,PHI,2.0,3.0,,,,STL,PHI,False,20260924,0.543844,0.456156,Final
2024020382,2024-11-30,LAK,OTT,5.0,2.0,,,,LAK,LAK,True,20260924,0.543844,0.456156,Final
2024020383,2024-11-30,NYI,BUF,3.0,0.0,,,,NYI,NYI,True,20260924,0.543844,0.456156,Final
2024020384,2024-11-30,MIN,NSH,3.0,2.0,,,,MIN,MIN,True,20260924,0.543844,0.456156,Final
2024020385,2024-11-30,COL,EDM,1.0,4.0,,,,COL,EDM,False,20260924,0.543844,0.456156,Final
2024020386,2024-11-30,VGK,UTA,0.0,6.0,,,,VGK,UTA,False,20260924,0.543844,0.456156,Final
2024020387,2024-11-30,SEA,SJS,2.0,4.0,,,,SEA,SJS,False,20260924,0.543844,0.456156,Final
2024020388,2024-12-01,DET,VAN,4.0,5.0,,,,DET,VAN,False,20260924,0.536325,0.463675,Final
2024020389,2024-12-01,BOS,MTL,6.0,3.0,,,,BOS,BOS,True,20260924,0.534039,0.465961,Final
2024020390,2024-12-01,CHI,CBJ,3.0,6.0,,,,CHI,CBJ,False,20260924,0.532672,0.467328,Final
2024020391,2024-12-01,DAL,WPG,3.0,1.0,,,,DAL,DAL,True,20260924,0.533931,0.466069,Final
2024020392,2024-12-01,ANA,OTT,4.0,3.0,,,,ANA,ANA,True,20260924,0.518832,0.481168,Final
2024020393,2024-12-02,NYR,NJD,1.0,5.0,,,,NYR,NJD,False,20260924,0.53641,0.46359,Final
2024020394,2024-12-02,TOR,CHI,4.0,1.0,,,,TOR,TOR,True,20260924,0.523261,0.476739,Final
2024020395,2024-12-02,UTA,DAL,1.0,2.0,,,,UTA,DAL,False,20260924,0.534958,0.465042,Final
2024020396,2024-12-03,BOS,DET,3.0,2.0,,,,BOS,BOS,True,20260924,0.535665,0.464335,Final
2024020397,2024-12-03,BUF,COL,4.0,5.0,,,,BUF,COL,False,20260924,0.537305,0.462695,Final
2024020398,2024-12-03,MTL,NYI,2.0,1.0,,,,MTL,MTL,True,20260924,0.540288,0.459712,Final
2024020399,2024-12-03,PIT,FLA,5.0,4.0,,,,PIT,PIT,True,20260924,0.537551,0.462449,Final
2024020400,2024-12-03,WSH,SJS,1.0,2.0,,,,WSH,SJS,False,20260924,0.535219,0.464781,Final
2024020401,2024-12-03,CAR,SEA,2.0,4.0,,,,CAR,SEA,False,20260924,0.550271,0.449729,Final
2024020402,2024-12-03,MIN,VAN,3.0,2.0,,,,MIN,MIN,True,20260924,0.528823,0.471177,Final
2024020403,2024-12-03,WPG,STL,1.0,4.0,,,,WPG,STL,False,20260924,0.550097,0.449903,Final
2024020404,2024-12-03,CGY,CBJ,3.0,0.0,,,,CGY,CGY,True,20260924,0.540613,0.459387,Final
2024020405,2024-12-03,VGK,EDM,1.0,0.0,,,,VGK,VGK,True,20260924,0.542992,0.457008,Final
2024020406,2024-12-04,TOR,NSH,3.0,2.0,,,,TOR,TOR,True,20260924,0.533614,0.466386,Final
