season,team,n,mean_age,mean_exp
2023,TB,12,26.85375313712069,1.25
2024,TB,19,25.660290356280846,1.3157894736842106
2025,TB,12,26.236824093086927,1.3333333333333333
2026,TB,99,26.404087018494607,2.8686868686868685
2018,TEN,102,26.166079380772512,3.0
2020,TEN,13,28.690359606170695,6.083333333333333
2021,TEN,6,26.50075290896646,2.5
2022,TEN,11,25.973990417522245,1.5454545454545454
2023,TEN,9,27.780971937029435,2.0
2024,TEN,14,25.67514347391144,1.7857142857142858
2025,TEN,14,27.13702943189596,2.5
2026,TEN,103,26.348859115891056,3.2135922330097086
2018,WAS,110,26.082974542403566,2.8
2019,WAS,111,26.13776632152271,2.90990990990991
2020,WAS,11,29.253661875427788,5.545454545454546
2021,WAS,3,25.860825918320785,2.0
2022,WAS,18,26.788501026694046,1.5
2023,WAS,11,27.312799452429843,1.7272727272727273
2024,WAS,15,27.199087383070953,3.466666666666667
2025,WAS,10,27.996714579055443,5.0
2026,WAS,102,27.7270201715183,4.519607843137255
