stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
Gillette Stadium,2019-11-24,39.3,43.4,1.063,0.0,open-meteo-archive
Levi's Stadium,2019-11-24,57.1,17.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2019-11-24,41.5,34.7,0.894,0.0,open-meteo-archive
MetLife Stadium,2019-11-24,41.9,32.2,1.008,0.0,open-meteo-archive
New Era Field,2019-11-24,38.0,39.4,0.012,0.0,open-meteo-archive
Nissan Stadium,2019-11-24,42.7,20.1,0.008,0.0,open-meteo-archive
Paul Brown Stadium,2019-11-24,37.7,26.2,0.031,0.0543,open-meteo-archive
Soldier Field,2019-11-24,37.2,23.7,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-11-25,57.2,20.1,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-12-01,37.7,47.2,0.012,0.0,open-meteo-archive
Bank of America Stadium,2019-12-01,56.1,38.0,0.492,0.0,open-meteo-archive
Empower Field at Mile High,2019-12-01,15.7,12.8,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-12-01,72.0,25.7,0.0,0.0,open-meteo-archive
Heinz Field,2019-12-01,41.2,35.3,0.693,0.0,open-meteo-archive
M&T Bank Stadium,2019-12-01,41.6,23.9,0.815,0.0,open-meteo-archive
MetLife Stadium,2019-12-01,30.9,30.9,0.287,0.4665,open-meteo-archive
Paul Brown Stadium,2019-12-01,47.8,40.0,0.181,0.0,open-meteo-archive
TIAA Bank Stadium,2019-12-01,68.4,41.2,0.201,0.0,open-meteo-archive
CenturyLink Field,2019-12-02,40.0,9.4,0.028,0.0,open-meteo-archive
Soldier Field,2019-12-05,34.5,19.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2019-12-08,37.7,28.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2019-12-08,20.7,21.9,0.0,0.0,open-meteo-archive
Lambeau Field,2019-12-08,35.2,32.4,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-12-08,59.1,24.6,0.142,0.0,open-meteo-archive
MetLife Stadium,2019-12-08,30.6,21.9,0.0,0.0,open-meteo-archive
New Era Field,2019-12-08,33.2,36.0,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-12-08,66.5,18.1,0.0,0.0,open-meteo-archive
Ring Central Coliseum,2019-12-08,55.5,36.9,0.594,0.0,open-meteo-archive
TIAA Bank Stadium,2019-12-08,62.2,28.0,0.012,0.0,open-meteo-archive
Lincoln Financial Field,2019-12-09,44.4,23.3,0.398,0.0,open-meteo-archive
M&T Bank Stadium,2019-12-12,29.8,19.5,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-12-15,24.5,21.0,0.0,1.1067,open-meteo-archive
Bank of America Stadium,2019-12-15,44.8,23.3,0.0,0.0,open-meteo-archive
FedExField,2019-12-15,43.8,34.7,0.004,0.0,open-meteo-archive
Heinz Field,2019-12-15,34.2,32.7,0.055,0.011,open-meteo-archive
Lambeau Field,2019-12-15,16.0,19.0,0.0,0.0217,open-meteo-archive
Levi's Stadium,2019-12-15,50.4,22.8,0.047,0.0,open-meteo-archive
MetLife Stadium,2019-12-15,43.6,36.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2019-12-15,44.9,14.1,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2019-12-15,34.6,25.5,0.0,0.0543,open-meteo-archive
Ring Central Coliseum,2019-12-15,49.0,28.0,0.035,0.0,open-meteo-archive
StubHub Center,2019-12-15,54.8,40.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2019-12-21,24.6,17.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2019-12-21,54.2,15.9,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-12-21,68.1,30.4,0.028,0.0,open-meteo-archive
CenturyLink Field,2019-12-22,42.8,21.7,0.008,0.0,open-meteo-archive
Empower Field at Mile High,2019-12-22,35.1,10.7,0.0,0.0,open-meteo-archive
FedExField,2019-12-22,33.0,15.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2019-12-22,38.4,18.1,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-12-22,73.6,28.9,0.067,0.0,open-meteo-archive
Lincoln Financial Field,2019-12-22,31.2,19.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2019-12-22,32.2,20.1,0.0,0.0,open-meteo-archive
Nissan Stadium,2019-12-22,44.0,14.1,0.051,0.0,open-meteo-archive
Soldier Field,2019-12-22,37.9,20.4,0.0,0.0,open-meteo-archive
StubHub Center,2019-12-22,55.9,21.7,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-12-29,46.4,30.6,0.646,0.0,open-meteo-archive
Bank of America Stadium,2019-12-29,61.4,26.6,0.307,0.0,open-meteo-archive
CenturyLink Field,2019-12-29,43.1,11.6,0.004,0.0,open-meteo-archive
Empower Field at Mile High,2019-12-29,20.4,26.4,0.0,0.065,open-meteo-archive
Gillette Stadium,2019-12-29,34.7,17.4,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-12-29,49.6,11.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-12-29,43.2,15.4,0.472,0.0,open-meteo-archive
MetLife Stadium,2019-12-29,36.6,13.2,0.055,0.0,open-meteo-archive
New Era Field,2019-12-29,38.2,16.6,0.402,0.0,open-meteo-archive
Paul Brown Stadium,2019-12-29,56.7,36.0,0.953,0.0,open-meteo-archive
Raymond James Stadium,2019-12-29,73.4,23.0,0.295,0.0,open-meteo-archive
TIAA Bank Stadium,2019-12-29,69.7,25.9,0.484,0.0,open-meteo-archive
Gillette Stadium,2020-01-04,43.2,12.5,0.201,0.0,open-meteo-archive
Lincoln Financial Field,2020-01-05,40.6,36.7,0.13,0.0,open-meteo-archive
Levi's Stadium,2020-01-11,49.6,21.3,0.035,0.0,open-meteo-archive
M&T Bank Stadium,2020-01-11,57.4,29.3,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2020-01-12,25.0,22.4,0.004,0.0,open-meteo-archive
Lambeau Field,2020-01-12,20.2,33.6,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2020-01-19,19.8,25.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2020-01-19,46.6,7.8,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2020-02-02,61.0,22.8,0.043,0.0,open-meteo-archive
Arrowhead Stadium,2020-09-10,56.6,21.0,0.681,0.0,open-meteo-archive
Bank of America Stadium,2020-09-13,73.8,17.2,0.008,0.0,open-meteo-archive
FedExField,2020-09-13,68.3,16.6,0.004,0.0,open-meteo-archive
Gillette Stadium,2020-09-13,61.8,28.4,0.0,0.0,open-meteo-archive
Levi's Stadium,2020-09-13,65.1,26.2,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2020-09-13,68.1,18.6,0.02,0.0,open-meteo-archive
New Era Field,2020-09-13,68.1,36.9,0.492,0.0,open-meteo-archive
Paul Brown Stadium,2020-09-13,75.6,17.9,0.823,0.0,open-meteo-archive
TIAA Bank Stadium,2020-09-13,80.9,27.1,0.157,0.0,open-meteo-archive
Empower Field at Mile High,2020-09-14,63.9,11.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-09-14,70.5,24.6,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2020-09-17,64.1,25.3,0.0,0.0,open-meteo-archive
CenturyLink Field,2020-09-20,62.8,14.5,0.091,0.0,open-meteo-archive
Hard Rock Stadium,2020-09-20,81.5,16.3,0.433,0.0,open-meteo-archive
Heinz Field,2020-09-20,54.0,15.9,0.0,0.0,open-meteo-archive
Lambeau Field,2020-09-20,56.5,23.0,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2020-09-20,55.1,21.5,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-09-20,55.2,23.0,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-09-20,64.4,15.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2020-09-20,78.1,33.8,1.157,0.0,open-meteo-archive
Soldier Field,2020-09-20,58.3,20.4,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2020-09-24,75.1,21.0,0.012,0.0,open-meteo-archive
CenturyLink Field,2020-09-27,57.6,26.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2020-09-27,59.0,31.5,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2020-09-27,71.6,24.6,0.0,0.0,open-meteo-archive
Gillette Stadium,2020-09-27,68.3,24.8,0.028,0.0,open-meteo-archive
Heinz Field,2020-09-27,68.1,22.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2020-09-27,71.2,12.1,0.012,0.0,open-meteo-archive
MetLife Stadium,2020-09-27,69.4,19.9,0.004,0.0,open-meteo-archive
New Era Field,2020-09-27,69.4,30.6,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2020-09-28,70.9,26.2,0.024,0.0,open-meteo-archive
MetLife Stadium,2020-10-01,63.8,22.6,0.0,0.0,open-meteo-archive
Bank of America Stadium,2020-10-04,58.3,16.6,0.0,0.0,open-meteo-archive
FedExField,2020-10-04,54.8,15.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2020-10-04,81.5,25.7,0.11,0.0,open-meteo-archive
Levi's Stadium,2020-10-04,70.7,22.4,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2020-10-04,56.0,23.0,0.161,0.0,open-meteo-archive
Raymond James Stadium,2020-10-04,72.8,21.3,1.004,0.0,open-meteo-archive
Soldier Field,2020-10-04,48.8,26.8,0.189,0.0,open-meteo-archive
Arrowhead Stadium,2020-10-05,55.8,29.3,0.0,0.0,open-meteo-archive
Lambeau Field,2020-10-05,47.2,34.7,0.0,0.0,open-meteo-archive
Soldier Field,2020-10-08,56.7,22.1,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2020-10-11,72.0,30.6,0.0,0.0,open-meteo-archive
CenturyLink Field,2020-10-11,53.4,34.9,0.512,0.0,open-meteo-archive
FedExField,2020-10-11,65.6,22.4,0.169,0.0,open-meteo-archive
FirstEnergy Stadium,2020-10-11,60.5,27.3,0.055,0.0,open-meteo-archive
Heinz Field,2020-10-11,64.2,18.1,0.024,0.0,open-meteo-archive
Levi's Stadium,2020-10-11,66.5,25.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2020-10-11,65.4,18.8,0.15,0.0,open-meteo-archive
MetLife Stadium,2020-10-11,64.0,22.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-10-13,60.9,26.6,0.146,0.0,open-meteo-archive
Bank of America Stadium,2020-10-18,53.4,13.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2020-10-18,48.7,17.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2020-10-18,78.9,26.8,0.24,0.0,open-meteo-archive
Heinz Field,2020-10-18,50.3,23.9,0.012,0.0,open-meteo-archive
Levi's Stadium,2020-10-18,75.6,19.5,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2020-10-18,52.6,17.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-10-18,53.7,28.4,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-10-18,58.9,17.4,0.012,0.0,open-meteo-archive
Raymond James Stadium,2020-10-18,77.0,31.1,0.024,0.0,open-meteo-archive
TIAA Bank Stadium,2020-10-18,73.8,30.0,0.091,0.0,open-meteo-archive
New Era Field,2020-10-19,52.3,31.8,0.335,0.0,open-meteo-archive
Lincoln Financial Field,2020-10-22,67.3,8.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2020-10-25,26.2,25.9,0.004,0.4232,open-meteo-archive
FedExField,2020-10-25,51.3,22.4,0.528,0.0,open-meteo-archive
Gillette Stadium,2020-10-25,46.7,26.8,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-10-25,49.1,23.3,0.004,0.0,open-meteo-archive
Nissan Stadium,2020-10-25,56.1,13.9,0.028,0.0,open-meteo-archive
Paul Brown Stadium,2020-10-25,47.0,19.0,0.087,0.0,open-meteo-archive
Bank of America Stadium,2020-10-29,72.4,66.9,0.213,0.0,open-meteo-archive
Arrowhead Stadium,2020-11-01,48.7,26.8,0.0,0.0,open-meteo-archive
CenturyLink Field,2020-11-01,48.1,18.1,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2020-11-01,42.5,20.8,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2020-11-01,46.1,52.3,0.165,0.065,open-meteo-archive
Hard Rock Stadium,2020-11-01,78.3,17.7,0.177,0.0,open-meteo-archive
Lambeau Field,2020-11-01,38.5,50.3,0.043,0.0,open-meteo-archive
Lincoln Financial Field,2020-11-01,47.4,28.6,0.374,0.0,open-meteo-archive
M&T Bank Stadium,2020-11-01,50.0,28.6,0.374,0.0,open-meteo-archive
New Era Field,2020-11-01,43.9,47.4,0.315,0.011,open-meteo-archive
Paul Brown Stadium,2020-11-01,49.1,41.2,0.008,0.0,open-meteo-archive
Soldier Field,2020-11-01,43.0,38.7,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-11-02,42.3,48.1,0.035,0.0,open-meteo-archive
Levi's Stadium,2020-11-05,64.9,19.9,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2020-11-08,64.8,38.5,0.0,0.0,open-meteo-archive
FedExField,2020-11-08,57.8,11.0,0.0,0.0,open-meteo-archive
New Era Field,2020-11-08,56.9,18.1,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-11-08,65.4,17.9,0.0,0.0,open-meteo-archive
Raymond James Stadium,2020-11-08,76.2,39.6,0.047,0.0,open-meteo-archive
TIAA Bank Stadium,2020-11-08,74.8,33.6,0.047,0.0,open-meteo-archive
MetLife Stadium,2020-11-09,55.7,9.4,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-11-12,52.0,15.4,0.0,0.0,open-meteo-archive
Bank of America Stadium,2020-11-15,62.6,37.1,0.028,0.0,open-meteo-archive
FirstEnergy Stadium,2020-11-15,49.6,54.1,0.358,0.0,open-meteo-archive
Gillette Stadium,2020-11-15,38.9,28.2,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2020-11-15,77.0,18.6,0.028,0.0,open-meteo-archive
Heinz Field,2020-11-15,50.3,56.4,0.146,0.0,open-meteo-archive
Lambeau Field,2020-11-15,41.4,50.6,0.48,0.0,open-meteo-archive
MetLife Stadium,2020-11-15,46.4,42.1,0.0,0.0,open-meteo-archive
Soldier Field,2020-11-16,36.9,38.5,0.031,0.0,open-meteo-archive
Lumen Field,2020-11-19,45.6,34.2,0.063,0.0,open-meteo-archive
Bank of America Stadium,2020-11-22,53.2,9.6,0.118,0.0,open-meteo-archive
Empower Field at Mile High,2020-11-22,35.0,19.2,0.0,0.0,open-meteo-archive
FedExField,2020-11-22,53.0,20.4,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2020-11-22,40.1,18.3,0.732,0.0217,open-meteo-archive
M&T Bank Stadium,2020-11-22,51.1,17.2,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2020-11-22,68.3,17.9,0.094,0.0,open-meteo-archive
Raymond James Stadium,2020-11-23,69.7,23.0,0.02,0.0,open-meteo-archive
Empower Field at Mile High,2020-11-29,32.4,13.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2020-11-29,41.2,17.7,0.0,0.0,open-meteo-archive
Lambeau Field,2020-11-29,38.5,29.5,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-11-29,42.6,17.9,0.0,0.0,open-meteo-archive
New Era Field,2020-11-29,41.0,25.5,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2020-11-29,40.0,14.5,0.0,0.0,open-meteo-archive
Raymond James Stadium,2020-11-29,70.7,14.8,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2020-11-29,66.1,14.3,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2020-11-30,53.1,48.8,1.224,0.0,open-meteo-archive
Heinz Field,2020-12-02,32.3,30.9,0.0,0.1953,open-meteo-archive
Arrowhead Stadium,2020-12-06,37.5,18.6,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2020-12-06,72.4,12.8,0.028,0.0,open-meteo-archive
Lambeau Field,2020-12-06,29.6,15.4,0.0,0.0,open-meteo-archive
Lumen Field,2020-12-06,47.2,20.8,0.004,0.0,open-meteo-archive
MetLife Stadium,2020-12-06,37.2,35.1,0.0,0.0,open-meteo-archive
Nissan Stadium,2020-12-06,42.9,9.8,0.0,0.0,open-meteo-archive
Soldier Field,2020-12-06,34.7,12.3,0.004,0.0,open-meteo-archive
Heinz Field,2020-12-07,30.1,20.4,0.0,0.011,open-meteo-archive
M&T Bank Stadium,2020-12-08,35.5,26.8,0.0,0.0,open-meteo-archive
Bank of America Stadium,2020-12-13,57.7,18.3,0.039,0.0,open-meteo-archive
Hard Rock Stadium,2020-12-13,71.1,11.6,0.004,0.0,open-meteo-archive
Lincoln Financial Field,2020-12-13,52.7,21.7,0.0,0.0,open-meteo-archive
Lumen Field,2020-12-13,40.4,21.9,0.189,0.0,open-meteo-archive
MetLife Stadium,2020-12-13,50.7,22.6,0.067,0.0,open-meteo-archive
New Era Field,2020-12-13,41.5,41.8,0.071,0.0,open-meteo-archive
Paul Brown Stadium,2020-12-13,42.5,24.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2020-12-13,66.7,11.9,0.0,0.0,open-meteo-archive
Soldier Field,2020-12-13,31.7,28.0,0.004,0.0433,open-meteo-archive
TIAA Bank Stadium,2020-12-13,62.0,11.0,0.02,0.0,open-meteo-archive
FirstEnergy Stadium,2020-12-14,35.0,32.4,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2020-12-19,25.5,28.4,0.0,0.0,open-meteo-archive
Lambeau Field,2020-12-19,32.9,20.4,0.0,0.2063,open-meteo-archive
FedExField,2020-12-20,35.0,24.4,0.043,0.0,open-meteo-archive
Hard Rock Stadium,2020-12-20,69.8,20.1,0.024,0.0,open-meteo-archive
M&T Bank Stadium,2020-12-20,34.6,19.9,0.02,0.0,open-meteo-archive
MetLife Stadium,2020-12-20,27.9,8.1,0.0,0.076,open-meteo-archive
Nissan Stadium,2020-12-20,44.6,14.3,0.551,0.0,open-meteo-archive
Paul Brown Stadium,2020-12-21,37.2,38.3,0.091,0.0,open-meteo-archive
Arrowhead Stadium,2020-12-27,44.4,29.1,0.0,0.0,open-meteo-archive
FedExField,2020-12-27,30.2,14.8,0.0,0.0,open-meteo-archive
Heinz Field,2020-12-27,21.0,16.1,0.0,0.0,open-meteo-archive
Lambeau Field,2020-12-27,24.5,19.9,0.004,0.2823,open-meteo-archive
Lumen Field,2020-12-27,43.3,27.3,0.205,0.0,open-meteo-archive
M&T Bank Stadium,2020-12-27,28.6,15.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2020-12-27,28.7,21.7,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2020-12-27,42.7,13.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2020-12-28,35.8,29.3,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2021-01-03,29.2,16.1,0.0,0.0,open-meteo-archive
Bank of America Stadium,2021-01-03,52.7,22.1,0.264,0.0,open-meteo-archive
Empower Field at Mile High,2021-01-03,33.5,16.3,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-01-03,35.9,22.4,0.067,0.0433,open-meteo-archive
Gillette Stadium,2021-01-03,31.9,29.5,0.0,0.1303,open-meteo-archive
Lincoln Financial Field,2021-01-03,37.3,22.1,0.303,0.0,open-meteo-archive
MetLife Stadium,2021-01-03,34.7,26.2,0.146,0.0433,open-meteo-archive
New Era Field,2021-01-03,32.3,13.0,0.051,0.1626,open-meteo-archive
Paul Brown Stadium,2021-01-03,37.4,23.0,0.039,0.011,open-meteo-archive
Raymond James Stadium,2021-01-03,66.6,31.3,0.303,0.0,open-meteo-archive
Soldier Field,2021-01-03,33.3,13.4,0.0,0.3579,open-meteo-archive
FedExField,2021-01-09,33.0,27.1,0.0,0.0,open-meteo-archive
Lumen Field,2021-01-09,39.8,13.2,0.0,0.0,open-meteo-archive
New Era Field,2021-01-09,26.0,18.1,0.0,0.0,open-meteo-archive
Heinz Field,2021-01-10,30.6,13.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2021-01-10,31.7,11.0,0.0,0.0,open-meteo-archive
Lambeau Field,2021-01-16,34.1,24.6,0.059,0.4016,open-meteo-archive
New Era Field,2021-01-16,33.8,29.3,0.079,0.0976,open-meteo-archive
Arrowhead Stadium,2021-01-17,31.7,32.9,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2021-01-24,37.5,17.9,0.02,0.0,open-meteo-archive
Lambeau Field,2021-01-24,25.6,19.7,0.0,0.4122,open-meteo-archive
Raymond James Stadium,2021-02-07,67.5,29.3,0.976,0.0,open-meteo-archive
Raymond James Stadium,2021-09-09,80.7,29.3,0.52,0.0,open-meteo-archive
Bank of America Stadium,2021-09-12,73.6,16.6,0.0,0.0,open-meteo-archive
FedExField,2021-09-12,73.7,25.5,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-09-12,81.1,26.4,0.0,0.0,open-meteo-archive
Gillette Stadium,2021-09-12,69.0,37.8,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2021-09-12,71.7,12.3,0.031,0.0,open-meteo-archive
MetLife Stadium,2021-09-12,72.1,29.1,0.0,0.0,open-meteo-archive
New Era Field,2021-09-12,70.4,36.0,0.169,0.0,open-meteo-archive
Nissan Stadium,2021-09-12,75.0,15.7,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-09-12,76.7,29.3,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2021-09-12,79.0,20.6,0.02,0.0,open-meteo-archive
FedExField,2021-09-16,74.8,21.7,0.268,0.0,open-meteo-archive
Bank of America Stadium,2021-09-19,77.6,21.9,0.004,0.0,open-meteo-archive
FirstEnergy Stadium,2021-09-19,69.1,21.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-09-19,79.3,16.3,0.248,0.0,open-meteo-archive
Heinz Field,2021-09-19,70.1,14.3,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2021-09-19,72.6,21.3,0.0,0.0,open-meteo-archive
Lumen Field,2021-09-19,57.1,31.8,0.177,0.0,open-meteo-archive
M&T Bank Stadium,2021-09-19,72.6,14.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-09-19,70.2,22.1,0.0,0.0,open-meteo-archive
Raymond James Stadium,2021-09-19,78.1,15.0,0.528,0.0,open-meteo-archive
Soldier Field,2021-09-19,72.2,19.0,0.012,0.0,open-meteo-archive
TIAA Bank Stadium,2021-09-19,77.0,16.1,2.453,0.0,open-meteo-archive
Lambeau Field,2021-09-20,72.4,32.2,0.047,0.0,open-meteo-archive
Empower Field at Mile High,2021-09-26,69.6,17.7,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-09-26,60.7,25.9,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-09-26,71.8,36.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2021-09-26,65.3,28.2,0.366,0.0,open-meteo-archive
Heinz Field,2021-09-26,59.2,27.1,0.008,0.0,open-meteo-archive
Levi's Stadium,2021-09-26,62.4,25.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-09-26,65.6,28.0,0.0,0.0,open-meteo-archive
New Era Field,2021-09-26,58.4,39.1,0.016,0.0,open-meteo-archive
Nissan Stadium,2021-09-26,64.7,8.5,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2021-09-26,73.2,19.7,0.0,0.0,open-meteo-archive
AT&T Stadium,2021-09-27,77.4,16.6,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-09-30,67.2,11.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2021-10-03,59.3,19.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2021-10-03,63.0,16.3,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-10-03,79.4,21.7,0.035,0.0,open-meteo-archive
Lambeau Field,2021-10-03,66.3,14.5,0.276,0.0,open-meteo-archive
Levi's Stadium,2021-10-03,73.8,21.5,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2021-10-03,67.8,15.0,0.004,0.0,open-meteo-archive
Mercedes-Benz Stadium,2021-10-03,70.6,25.1,0.268,0.0,open-meteo-archive
MetLife Stadium,2021-10-03,65.6,15.0,0.0,0.0,open-meteo-archive
New Era Field,2021-10-03,64.4,25.7,1.0,0.0,open-meteo-archive
Soldier Field,2021-10-03,68.8,17.9,1.039,0.0,open-meteo-archive
Lumen Field,2021-10-07,51.3,21.7,0.094,0.0,open-meteo-archive
Bank of America Stadium,2021-10-10,67.3,21.9,0.0,0.0,open-meteo-archive
FedExField,2021-10-10,67.1,29.5,0.118,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-10-10,77.2,35.6,0.138,0.0,open-meteo-archive
Heinz Field,2021-10-10,65.9,16.1,0.016,0.0,open-meteo-archive
Paul Brown Stadium,2021-10-10,72.9,22.8,0.0,0.0,open-meteo-archive
Raymond James Stadium,2021-10-10,75.8,15.2,0.039,0.0,open-meteo-archive
TIAA Bank Stadium,2021-10-10,72.4,21.0,0.012,0.0,open-meteo-archive
Tottenham Stadium,2021-10-10,55.4,19.2,0.008,0.0,open-meteo-archive
M&T Bank Stadium,2021-10-11,66.6,18.1,0.012,0.0,open-meteo-archive
Lincoln Financial Field,2021-10-14,67.3,16.6,0.0,0.0,open-meteo-archive
Bank of America Stadium,2021-10-17,58.7,20.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2021-10-17,50.0,16.1,0.0,0.0,open-meteo-archive
FedExField,2021-10-17,57.3,36.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-10-17,54.4,35.1,0.181,0.0,open-meteo-archive
Gillette Stadium,2021-10-17,59.8,31.1,0.346,0.0,open-meteo-archive
Heinz Field,2021-10-17,52.7,34.4,0.0,0.0,open-meteo-archive
Lucas Oil Stadium,2021-10-17,51.9,21.7,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2021-10-17,57.0,28.9,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-10-17,58.4,27.3,0.496,0.0,open-meteo-archive
Soldier Field,2021-10-17,52.7,21.0,0.0,0.0,open-meteo-archive
Tottenham Stadium,2021-10-17,54.5,22.8,0.016,0.0,open-meteo-archive
Nissan Stadium,2021-10-18,55.3,8.1,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-10-21,61.1,35.8,0.957,0.0,open-meteo-archive
Gillette Stadium,2021-10-24,48.9,19.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-10-24,77.8,17.4,0.15,0.0,open-meteo-archive
Lambeau Field,2021-10-24,41.2,20.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2021-10-24,62.1,36.9,0.98,0.0,open-meteo-archive
M&T Bank Stadium,2021-10-24,55.1,18.6,0.02,0.0,open-meteo-archive
MetLife Stadium,2021-10-24,53.1,14.8,0.004,0.0,open-meteo-archive
Nissan Stadium,2021-10-24,65.4,23.5,0.213,0.0,open-meteo-archive
Raymond James Stadium,2021-10-24,77.3,21.5,0.15,0.0,open-meteo-archive
Lumen Field,2021-10-25,55.1,46.5,0.165,0.0,open-meteo-archive
State Farm Stadium,2021-10-28,68.3,9.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2021-10-31,43.3,15.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-10-31,54.1,30.4,0.154,0.0,open-meteo-archive
Lucas Oil Stadium,2021-10-31,52.9,26.6,0.008,0.0,open-meteo-archive
Lumen Field,2021-10-31,45.3,23.9,0.0,0.0,open-meteo-archive
