game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
745257,2024-05-14,4.6765,3.9237,2,4
745342,2024-05-14,3.6859,5.0168,2,10
745418,2024-05-14,4.2865,3.4378,3,6
745821,2024-05-14,4.1963,4.4708,0,4
745909,2024-05-14,4.2308,4.3813,1,5
745989,2024-05-14,4.4838,3.5645,4,3
746235,2024-05-14,4.4807,4.4163,6,7
746396,2024-05-14,4.674,4.139,2,1
746473,2024-05-14,4.8253,3.8413,0,1
746796,2024-05-14,4.6924,4.4014,3,6
746799,2024-05-14,4.3657,4.2289,4,0
746962,2024-05-14,3.5937,4.9094,5,4
747124,2024-05-14,4.5318,4.0036,7,0
747205,2024-05-14,4.1247,3.4985,2,6
745015,2024-05-15,4.5491,5.2034,4,0
745259,2024-05-15,4.9193,4.3354,4,2
745341,2024-05-15,3.744,4.9349,4,1
745417,2024-05-15,4.3242,3.5087,0,8
745582,2024-05-15,4.6191,4.377,10,5
745908,2024-05-15,4.294,4.6694,0,4
745992,2024-05-15,4.3813,3.5527,10,2
746231,2024-05-15,4.1785,4.9711,7,2
746397,2024-05-15,4.3774,5.0178,3,0
746472,2024-05-15,5.6041,3.819,0,2
746795,2024-05-15,4.7093,5.1598,2,0
746960,2024-05-15,3.7927,5.0165,3,4
747038,2024-05-15,5.1598,3.5622,3,2
747123,2024-05-15,4.5796,3.906,1,7
747203,2024-05-15,4.3757,3.7749,2,1
745580,2024-05-16,4.85,4.0263,5,6
745907,2024-05-16,4.015,4.4201,0,5
746150,2024-05-16,4.7509,3.2274,2,7
746391,2024-05-16,4.5611,3.8381,8,1
746881,2024-05-16,3.9427,3.898,4,5
746959,2024-05-16,3.8537,4.0968,5,7
744934,2024-05-17,4.3695,4.7237,3,4
745016,2024-05-17,4.398,4.3053,3,9
745178,2024-05-17,4.4388,4.7518,10,6
745335,2024-05-17,3.8321,3.964,10,5
745579,2024-05-17,4.8847,3.4872,4,2
745747,2024-05-17,5.1105,3.8041,4,2
746065,2024-05-17,3.8946,4.6888,8,0
746148,2024-05-17,5.228,3.9776,7,3
746310,2024-05-17,4.4338,4.3765,6,2
746388,2024-05-17,4.3702,4.3161,5,4
746641,2024-05-17,4.1933,4.687,3,2
746878,2024-05-17,4.7106,3.9011,3,9
747037,2024-05-17,4.0973,4.4786,9,2
747122,2024-05-17,4.4243,3.7314,1,3
747201,2024-05-17,4.1935,4.1927,0,13
744938,2024-05-18,4.5898,4.6868,4,5
745013,2024-05-18,4.221,4.1669,3,2
745177,2024-05-18,4.0855,4.672,7,2
745339,2024-05-18,3.8342,4.3193,14,4
745581,2024-05-18,4.8651,3.5386,4,3
745744,2024-05-18,5.0343,3.7627,6,1
746067,2024-05-18,3.7494,4.4214,10,9
746142,2024-05-18,4.8857,3.7295,4,0
746308,2024-05-18,4.0793,3.9883,5,3
746389,2024-05-18,4.931,4.2508,2,4
746642,2024-05-18,4.015,4.4742,11,4
746882,2024-05-18,4.186,4.1909,1,0
747036,2024-05-18,4.2934,4.4645,3,4
747202,2024-05-18,4.1439,4.3431,3,8
744937,2024-05-19,4.5511,4.6186,5,2
745012,2024-05-19,3.8422,4.1302,1,4
745179,2024-05-19,4.0693,4.3843,3,11
745336,2024-05-19,3.9041,4.0377,4,1
745577,2024-05-19,5.1569,3.6591,11,5
745745,2024-05-19,4.9116,3.8289,7,2
746064,2024-05-19,4.1702,4.3768,3,7
746144,2024-05-19,4.6171,3.596,3,2
746306,2024-05-19,4.0819,4.3345,8,4
746392,2024-05-19,4.7607,4.9876,9,4
746636,2024-05-19,4.0105,4.1614,5,2
746880,2024-05-19,4.1583,4.0914,2,3
747035,2024-05-19,4.0037,4.6929,6,3
747120,2024-05-19,4.2888,3.6627,1,9
747198,2024-05-19,4.2157,4.7962,6,4
744857,2024-05-20,4.0313,4.5276,12,3
744935,2024-05-20,4.3567,4.2861,9,3
745093,2024-05-20,4.0034,4.2936,0,5
745181,2024-05-20,4.0478,4.6798,6,3
745746,2024-05-20,4.4197,3.7085,4,5
746066,2024-05-20,4.0323,4.5489,3,2
746146,2024-05-20,4.5604,3.8602,6,4
746307,2024-05-20,4.3785,4.1487,8,3
746390,2024-05-20,4.7985,3.5102,7,9
746637,2024-05-20,3.613,4.0204,3,1
747119,2024-05-20,4.61,4.026,5,6
747121,2024-05-20,4.7075,3.9368,3,0
744860,2024-05-21,3.8946,4.9511,0,10
744936,2024-05-21,4.2405,4.3871,0,5
745090,2024-05-21,3.8134,4.5113,2,5
745180,2024-05-21,3.8844,4.087,3,1
745503,2024-05-21,4.2046,4.2242,7,6
745578,2024-05-21,4.4515,3.748,5,2
745662,2024-05-21,4.1563,3.8956,5,4
745742,2024-05-21,4.5794,3.6983,3,6
746058,2024-05-21,4.054,4.8483,5,7
746145,2024-05-21,4.6789,3.9074,3,7
746309,2024-05-21,4.099,4.3049,10,3
746385,2024-05-21,4.8904,3.7384,6,5
746633,2024-05-21,3.8965,4.0096,7,6
746716,2024-05-21,3.6939,4.9723,2,0
746875,2024-05-21,3.9988,4.1842,4,3
744856,2024-05-22,4.1609,4.5888,2,3
744933,2024-05-22,4.7101,5.0492,9,2
745089,2024-05-22,3.8725,4.3342,5,8
745173,2024-05-22,4.3327,4.6472,5,4
745502,2024-05-22,4.0527,3.7547,5,9
745576,2024-05-22,4.6178,4.0125,11,4
745661,2024-05-22,4.3241,3.7778,3,4
745743,2024-05-22,4.356,3.6331,7,3
746063,2024-05-22,3.9081,4.7401,1,0
746143,2024-05-22,5.0206,4.1925,0,6
746304,2024-05-22,3.8694,4.0297,8,3
746386,2024-05-22,4.4917,3.9239,1,2
746634,2024-05-22,4.4858,4.2832,6,3
746712,2024-05-22,4.0581,4.736,3,7
746876,2024-05-22,4.0243,4.2007,2,9
745500,2024-05-23,4.1858,4.4071,6,7
745573,2024-05-23,4.7707,3.6593,5,2
745660,2024-05-23,4.4321,3.9952,10,9
745741,2024-05-23,4.5269,3.6162,5,0
746474,2024-05-23,4.561,4.5696,1,9
746714,2024-05-23,3.967,4.8591,4,6
746792,2024-05-23,4.7649,4.3947,6,8
746874,2024-05-23,4.302,4.579,0,3
744853,2024-05-24,4.3264,4.3736,6,1
745087,2024-05-24,3.8947,4.4481,1,8
745415,2024-05-24,3.6183,4.957,0,8
745501,2024-05-24,4.3213,4.4757,11,5
745663,2024-05-24,4.3857,4.1188,3,6
745822,2024-05-24,4.3894,4.1532,7,8
745905,2024-05-24,5.0672,3.7103,3,2
746227,2024-05-24,4.2879,4.4701,4,10
746475,2024-05-24,4.6629,4.6977,6,2
746558,2024-05-24,3.7907,5.3756,3,2
746713,2024-05-24,4.2319,4.3245,9,6
746793,2024-05-24,4.7404,3.8242,4,6
746956,2024-05-24,4.5775,3.8449,2,7
747200,2024-05-24,4.385,3.9844,0,3
744851,2024-05-25,4.4497,4.3359,3,1
745086,2024-05-25,3.8979,4.6467,4,7
745176,2024-05-25,4.6907,4.3773,7,6
745411,2024-05-25,3.732,4.6308,1,4
745493,2024-05-25,4.6741,4.138,4,1
745658,2024-05-25,4.4348,3.9768,3,1
745823,2024-05-25,4.4867,3.9035,2,7
745901,2024-05-25,4.4305,3.8029,5,3
746226,2024-05-25,4.0234,4.103,3,4
746470,2024-05-25,4.4868,4.3726,2,1
746556,2024-05-25,3.893,5.072,4,8
746710,2024-05-25,3.7516,4.6088,3,1
746794,2024-05-25,4.9714,3.7728,3,5
746958,2024-05-25,4.2062,4.0105,3,6
747199,2024-05-25,4.5879,4.1932,3,2
744855,2024-05-26,4.3388,4.8554,5,9
745088,2024-05-26,4.2261,4.4871,4,1
745172,2024-05-26,4.5169,3.9314,4,3
745413,2024-05-26,3.7581,4.5743,5,2
745498,2024-05-26,4.4966,4.3521,1,8
745653,2024-05-26,4.4307,4.1698,2,5
745824,2024-05-26,4.1142,4.4216,4,3
745902,2024-05-26,4.5427,3.999,2,6
746230,2024-05-26,4.3075,4.2288,4,5
746469,2024-05-26,4.5885,4.1506,14,11
746557,2024-05-26,3.9937,4.4356,5,2
746711,2024-05-26,3.6691,4.7661,4,1
746789,2024-05-26,4.3524,4.715,1,4
746957,2024-05-26,3.9523,4.1521,2,1
