hp_umpire_id,hp_umpire_name,season,games_worked,mean_runs_game,trailing_runs_game,called_pitch_n,called_strike_rate
608093,Junior Valentine,2026,23,8.428571428571429,8.428571428571429,,
608158,Nate Tomlinson,2026,31,9.192307692307692,9.2,,
621660,Emil Jimenez,2026,28,11.73913043478261,11.73913043478261,,
623938,Erich Bacchus,2026,28,10.12,10.12,,
623945,Alex MacKay,2026,26,9.26086956521739,9.26086956521739,,
623946,Malachi Moore,2026,32,10.222222222222221,10.16,,
623949,Clint Vondrak,2026,28,8.833333333333334,8.833333333333334,,
639723,Brennan Miller,2026,28,9.04,9.04,,
644760,Adam Beck,2026,30,9.04,9.04,,
658082,Jacob Metz,2026,25,7.647058823529412,7.647058823529412,,
658292,Derek Thomas,2026,24,10.235294117647058,10.235294117647058,,
658325,Tyler Jones,2026,26,7.7368421052631575,7.7368421052631575,,
658536,Austin Jones,2026,21,9.058823529411764,9.058823529411764,,
664263,Edwin Jimenez,2026,18,9.727272727272727,9.727272727272727,,
665278,Ben Phillips,2026,1,,,,
665280,Darius Ghani,2026,7,,,,
665281,Brian Walsh,2026,29,9.791666666666666,9.791666666666666,,
665297,Tom Hanahan,2026,30,8.96,8.96,,
665298,Dexter Kelley,2026,25,8.68421052631579,8.68421052631579,,
665299,Louie Krupa,2026,20,10.714285714285714,10.714285714285714,,
665302,Dillon Wilson,2026,16,7.5,7.5,,
665576,Brock Ballou,2026,23,7.333333333333333,7.333333333333333,,
668921,Jen Pawol,2026,19,9.666666666666666,9.666666666666666,,
670565,Trevor Dannegger,2026,7,,,,
670567,Steven Hodgins,2026,6,,,,
676578,Thomas Fornarola,2026,7,,,,
676580,Steven Jaschinski,2026,21,8.571428571428571,8.571428571428571,,
676581,James Jean,2026,30,9.545454545454545,9.545454545454545,,
676582,Evin Johnson,2026,5,,,,
676583,Thomas O'Neil,2026,1,,,,
677388,Pete Talkington,2026,8,,,,
677389,Ty Krauss,2026,1,,,,
681783,Casey James,2026,1,,,,
681791,Bryan Van Vranken,2026,7,,,,
681849,Felix Neon,2026,14,9.571428571428571,9.571428571428571,,
682443,Steven Rios Jr.,2026,1,,,,
682954,Mitch Trzeciak,2026,10,,,,
686967,Denver Dangerfield,2026,5,,,,
688057,Matt Blackborow,2026,8,,,,
690888,Austin Snow,2026,8,,,,
690896,Sean Sparling,2026,7,,,,
691042,Willie Traynor,2026,34,10.535714285714286,10.16,,
691047,Kellen Martin,2026,2,,,,
700499,Macon Hammond,2026,6,,,,
703141,Charlie Welling,2026,7,,,,
838911,,2026,2,,,,
