game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
824819.0,2026-06-30,4.5027,4.6955,3,9
824907.0,2026-06-30,4.4436,4.6521,3,5
824984.0,2026-06-30,4.4961,4.8984,3,9
825066.0,2026-06-30,4.4772,4.7259,8,2
822791.0,2026-07-01,4.4114,4.4588,9,3
823446.0,2026-07-01,4.7668,4.5298,10,6
823530.0,2026-07-01,4.6605,4.4981,2,6
823767.0,2026-07-01,4.7159,4.5104,4,2
824094.0,2026-07-01,4.3779,4.4487,0,4
824174.0,2026-07-01,4.3974,4.4114,3,8
824337.0,2026-07-01,4.6905,4.7016,6,3
824419.0,2026-07-01,4.2903,4.4151,9,4
824660.0,2026-07-01,4.6946,4.4114,23,3
824740.0,2026-07-01,4.4035,4.4449,2,10
824818.0,2026-07-01,4.1636,4.4426,6,1
824905.0,2026-07-01,4.5405,4.394,5,1
824985.0,2026-07-01,4.4512,4.478,7,1
825064.0,2026-07-01,4.6302,4.4151,4,6
822884.0,2026-07-02,4.4406,4.4303,10,4
823119.0,2026-07-02,4.3014,4.4511,1,0
823442.0,2026-07-02,4.6312,4.4303,1,6
823765.0,2026-07-02,4.4239,4.5143,2,7
823935.0,2026-07-02,4.754,4.4172,12,7
824093.0,2026-07-02,4.4464,4.4627,2,5
824335.0,2026-07-02,4.6988,4.7563,14,4
824416.0,2026-07-02,4.2535,4.4151,6,5
824906.0,2026-07-02,4.2162,4.4303,5,11
822714.0,2026-07-03,4.5216,4.4362,9,5
823120.0,2026-07-03,4.3503,4.3722,0,2
823527.0,2026-07-03,4.6734,4.4114,5,2
823933.0,2026-07-03,4.692,4.4541,4,3
824013.0,2026-07-03,4.5666,4.5104,2,5
824173.0,2026-07-03,4.4834,4.4151,1,3
824336.0,2026-07-03,4.8199,4.6911,15,3
824417.0,2026-07-03,4.3164,4.4151,4,3
824498.0,2026-07-03,4.2877,4.4491,0,3
824659.0,2026-07-03,4.8662,4.4303,1,17
824904.0,2026-07-03,4.3903,4.4303,5,3
824982.0,2026-07-03,4.4958,4.4508,5,12
825062.0,2026-07-03,4.5495,4.4709,4,7
822716.0,2026-07-04,4.4922,4.4303,1,7
822882.0,2026-07-04,4.4155,4.4303,0,3
823118.0,2026-07-04,4.2132,4.4149,11,0
823526.0,2026-07-04,4.9545,4.421,4,11
823932.0,2026-07-04,4.673,4.4114,3,0
824012.0,2026-07-04,4.6721,4.5104,1,8
824092.0,2026-07-04,4.5082,4.4151,1,6
824171.0,2026-07-04,4.5815,4.4151,10,8
824334.0,2026-07-04,4.5173,4.6372,4,6
824415.0,2026-07-04,4.1771,4.4151,1,3
824499.0,2026-07-04,4.5462,4.4114,5,8
